Артикул;Наименование;Остаток;Цена;МРЦ;Бренд;Серия;
1A110503XX010;Полка Aquaton 110 стеклянная (1A110503XX010);2;1625;2528;AQUATON;;
1A222201NRC80;Тумба под раковину Aquaton Рене 80 белый, грецкий орех (1A222201NRC80);2;12614;17524;AQUATON;Рене;
1A240101BN010;Тумба под раковину Aquaton Бостон 75 дуб эврика (1A240101BN010);1;9429;13100;AQUATON;Бостон;
1A170403YO000;Комплект ножек Aquaton Йорк (1A170403YO000);5;936;1418;AQUATON;Йорк;
1A242903LTDU0;Мебельная столешница Aquaton Лофт Фабрик 60 дуб эндгрейн (1A242903LTDU0);5;700;1050;AQUATON;Лофт Фабрик;
1A242903LTDY0;Мебельная столешница Aquaton Лофт Фабрик 60 дуб кантри (1A242903LTDY0);2;700;1050;AQUATON;Лофт Фабрик;
1A243003LTDU0;Мебельная столешница Aquaton Лофт Фабрик 80 дуб эндгрейн (1A243003LTDU0);5;772;1159;AQUATON;Лофт Фабрик;
1A243003LTDY0;Мебельная столешница Aquaton Лофт Фабрик 80 дуб кантри (1A243003LTDY0);3;772;1159;AQUATON;Лофт Фабрик;
1A204305BC010;Мебельная столешница Aquaton Брук 100 (80+20) (1A204305BC010);2;4748;7256;AQUATON;Брук;
1A204505BC010;Мебельная столешница Aquaton Брук 120 (80+40) (1A204505BC010);1;5469;8358;AQUATON;Брук;
1A204905BC010;Мебельная столешница Aquaton Брук 120 центр (20+80+20) (1A204905BC010);Нет в наличии;5622;8592;AQUATON;Брук;
1A204705BC010;Мебельная столешница Aquaton Брук 140 (60+20+60) (1A204705BC010);Нет в наличии;7096;10844;AQUATON;Брук;
1A204105BC010;Мебельная столешница Aquaton Брук 60 (центр) (1A204105BC010);Нет в наличии;3219;4919;AQUATON;Брук;
1A710831OD010;Мебельная раковина Aquaton Ондина 800 Д (1A710831OD010);1;9712;13493;AQUATON;Ондина;
32799C000;Мебельная раковина Aquaton Roca Victoria Nord Unik 80х46 (32799C000);1;6983;9702;AQUATON;;
32799E000;Мебельная раковина Aquaton Roca Victoria-N Unik 60х46 (32799E000);более 5;5659;7862;AQUATON;;
