Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
1A204305BC010,Мебельная столешница Aquaton Брук 100 (80+20) (1A204305BC010),0,7256.0,4748.0,AQUATON,Брук
1A204505BC010,Мебельная столешница Aquaton Брук 120 (80+40) (1A204505BC010),0,8358.0,5469.0,AQUATON,Брук
1A204905BC010,Мебельная столешница Aquaton Брук 120 центр (20+80+20) (1A204905BC010),0,8592.0,5622.0,AQUATON,Брук
32799C000,Мебельная раковина Aquaton Roca Victoria Nord Unik 80х46 (32799C000),0,9702.0,6983.0,AQUATON,
32799E000,Мебельная раковина Aquaton Roca Victoria-N Unik 60х46 (32799E000),0,7862.0,5659.0,AQUATON,
1A165701LL010,Тумба под раковину Aquaton Лиана 65 белый (1A165701LL010),0,7386.0,4833.0,AQUATON,Лиана
1A221501BBAZ0,"Тумба под раковину Aquaton Бэлла белый, джарра (1A221501BBAZ0)",0,7107.0,4781.0,AQUATON,Бэлла
1A201301BCDL0,Модуль подвесной Aquaton Брук 60 открытый дуб латте (1A201301BCDL0),0,9861.0,6634.0,AQUATON,Брук
1A201003BCDL0,Модуль для зеркала Aquaton Брук 20 дуб латте (1A201003BCDL0),0,7290.0,4904.0,AQUATON,Брук
1A200903BCDF0,Модуль для зеркала Aquaton Брук 20 открытый дуб ферр (1A200903BCDF0),0,7015.0,4719.0,AQUATON,Брук
1A201803BCDL0,Модуль для тумбы Aquaton Брук 40 дуб латте (1A201803BCDL0),0,9514.0,6400.0,AQUATON,Брук
1A201803BCDF0,Модуль для тумбы Aquaton Брук 40 дуб ферр (1A201803BCDF0),0,9514.0,6400.0,AQUATON,Брук
1A201201BCDF0,Модуль подвесной Aquaton Брук 40 открытый дуб ферр (1A201201BCDF0),0,9215.0,6199.0,AQUATON,Брук
1A220803SKW8L,"Шкафчик Aquaton Сакура L ольха наварра, белый глянец (1A220803SKW8L)",0,8898.0,5876.0,AQUATON,Сакура
1A231003KPDA0,Комод Aquaton Капри 60 бетон пайн (1A231003KPDA0),0,8677.0,6246.0,AQUATON,Капри
1A221702BBAZ0,"Зеркало Aquaton Бэлла белый, джарра (1A221702BBAZ0)",0,7573.0,5095.0,AQUATON,Бэлла
1A141902AA010,Зеркало Aquaton Ария 80 (1A141902AA010),0,8581.0,5773.0,AQUATON,Ария
1A162702LL01L,Зеркальный шкаф Aquaton Лиана 60 L белый (1A162702LL01L),0,7790.0,5006.0,AQUATON,Лиана
