ID варианта товара,Название товара,Артикул,Цена продажи,Остаток
467761459,Смеситель для кухонной мойки KAISER Merkur (26044-5),26044-5,10190.0,0
467761465,Смеситель для ванны Kaiser Guss 68055,68055,33168.0,
467761486,Смеситель для кухонной мойки KAISER Vincent (31333-9),31333-9,7440.0,0
467761495,Смеситель для кухонной мойки KAISER Sonat (34144),34144,9917.0,
467761502,Смеситель для кухонной мойки KAISER Topaz (17233),17233,5884.0,
467761511,"Смеситель для кухни (мойки) KAISER Merkur 26044-7 под фильтр Ora, бежевый мрамор",26044-7,9720.0,0
467761520,"Смеситель для кухни (мойки) KAISER Merkur (26744-9) высокий излив, черный",26744-9,8560.0,0
467761528,"Смеситель для кухни (мойки) KAISER Sharp (64044), высокий излив, хром",64044,14634.0,
467761533,"Смеситель для кухни (мойки) KAISER King (2070800/27144), хром",2070800/27144,7510.0,0
467761540,"Смеситель для кухни (мойки) KAISER Magistro (14011An), бронза",14011An,3760.0,0
467761551,"Смеситель для кухни (мойки) KAISER City (21144), хром",21144,8401.0,
467761568,Смеситель для кухонной мойки KAISER Carlson Eco (11014),11014,7501.0,
467761575,Смеситель для кухонной мойки KAISER King (2070790/27044),2070790/27044,7510.0,0
467761582,"Смеситель для кухни (мойки) KAISER Sonat (34044-3), бронза",34044-3,11590.0,0
467761591,"Смеситель для кухни (мойки) KAISER Magistro (14022BlPa), черный",14022BlPa,3320.0,0
467761598,Смеситель для кухонной мойки KAISER Crystal (28133),28133,5067.0,
467761606,Смеситель для кухонной мойки KAISER County (55244-6) Бежевый мрамор,55244-6,4430.0,0
467761615,Смеситель для кухни с подключением питьевой воды Bravat Palace (F729261CP-RUS),F729261CP-RUS,11190.0,0
467761625,Смеситель для кухонной мойки KAISER Teka (13044-3),13044-3,9540.0,0
467761637,"Смеситель для кухни (мойки) KAISER Nova (23044), хром",23044,10467.0,
467761642,"Смеситель для кухни (мойки) KAISER Vincent (31944-1), высокий излив, бронза",31944-1,10250.0,0
467761653,Смеситель для кухонной мойки KAISER Vincent (31844),31844,14884.0,
467761660,Смеситель для кухонной мойки KAISER Douglas (12055-6S),12055-6S,6240.0,0
467761667,Смеситель для кухонной мойки KAISER Teka (13044-5),13044-5,9540.0,0
467761700,Смеситель для кухонной мойки KAISER Teka (13044-4),13044-4,8940.0,0
467761702,Смеситель для кухонной мойки KAISER Vincent (31145-3),31145-3,10630.0,10
467761710,Смеситель под фильтр для кухонной мойки KAISER Vincent (31244-5) Черный мрамор,31244-5,9610.0,0
467761712,Смеситель для кухонной мойки KAISER Vincent (31844-3) под фильтр  Bronze,31844-3,9610.0,0
467761724,Смеситель для кухни D&K Venice Baciano (DA1032401),DA1032401,7420.0,10
467761730,Смеситель для кухонной мойки KAISER Carlson (11043),11043,6951.0,
467761741,Смеситель под фильтр для кухонной мойки KAISER Decor (40144-3) Бронза,40144-3,9010.0,0
467761767,"Смеситель для кухни (мойки) D&K Berlin.DA1432423 высокий излив, песочный",DA1432423,6990.0,10
467761823,"Смеситель для ванны с душем D&K Rhein.Schiller DA1463201, короткий излив, хром",DA1463201,4700.0,0
467761897,Смеситель для кухонной мойки KAISER Wood (61033),61033,19884.0,
467761902,"Смеситель для ванны с душем D&K Rhein.Eucharius DA1373201, короткий излив, хром",DA1373201,5790.0,10
467761910,Смеситель для ванны D&K Venice Rialto (DA1063241),DA1063241,11060.0,10
467761921,Смеситель для ванны с душем D&K Rhein.Hertz DA1293201 короткий излив хром,DA1293201,7630.0,0
467761929,Смеситель для кухни D&K (DA1432421) высокий грей,DA1432421,6990.0,10
467761980,"Смеситель для кухни (мойки) D&K Bayern.Alfeld DA1482501, хром",DA1482501,12560.0,10
467762008,"Смеситель для ванны с душем D&K Berlin.Steinbeis DA1433226, короткий излив, белый",DA1433226,12390.0,10
467762010,"Смеситель для ванны с душем D&K Berlin.Technische DA1433225, короткий излив, черный",DA1433225,12390.0,10
467762013,Смеситель для душа D&K Berlin Humboldt (DA1433112),DA1433112,6070.0,0
467762017,"Смеситель для ванны с душем D&K Rhein.Valerius DA1363301, длинный излив, хром",DA1363301,6800.0,10
467762021,"Смеситель для ванны с душем D&K Rhein Speyer DA1313201, хром",DA1313201,8350.0,10
467762031,"Смеситель для ванны с душем D&K Venice Baciano DA1033301, хром",DA1033301,8840.0,0
467762035,"Смеситель для кухни (мойки) KAISER Merkur 26044-8 под фильтр Sand, песочный мрамор",26044-8,9720.0,0
467762044,Смеситель для кухни (мойки) D&K (DA1322401) высокий хром,DA1322401,7040.0,10
467762064,"Смеситель для раковины D&K Rhein.Marx DA1392141 с выдвижной лейкой, хром",DA1392141,8030.0,10
467762079,Смеситель для кухни (мойки) D&K Rhein.Valerius DA1361601 с подключением к фильтру,DA1361601,11800.0,10
467762097,Смеситель для кухни ( мойки) D&K (DA1432481) высокий хром,DA1432481,5890.0,10
467762103,"Смеситель для ванны с душем D&K Rhein.Marx DA1393301, длинный излив, хром",DA1393301,7640.0,10
467762115,"Смеситель для кухни (мойки) D&K Berlin.(DA1432422) высокий излив, жасмин",DA1432422,6990.0,10
467762133,Смеситель для кухни Bravat Iceberg (F776110G-2),F776110G-2,15790.0,0
467762140,"Смеситель для кухни (мойки) D&K Rhein.Reisling DA1272401 высокий излив, хром",DA1272401,6740.0,10
467762146,Смеситель для кухни D&K Venice Baciano (DA1032441),DA1032441,6360.0,10
467762154,Смеситель для кухни D&K Hessen Grimm (DA1382401,DA1382401,4620.0,10
467762160,"Смеситель для кухни D&K Rhein.Eucharius DA1372423. высокий излив, песочный",DA1372423,4880.0,10
467762173,"Смеситель для кухни (мойки) D&K Rhein.Eucharius (DA1372421) высокий излив, серый",DA1372421,4880.0,10
467762180,"Смеситель для кухни (мойки) D&K Rhein.Eucharius DA1372422, высокий излив, жасмин",DA1372422,4880.0,10
467762186,"Смеситель для кухни (мойки) D&K Berlin.DA1432420 высокий излив, антрацит",DA1432420,6990.0,10
467762191,"Смеситель для кухни (мойки) D&K Berlin.Technische DA1432425, высокий излив, чёрный матовый",DA1432425,6990.0,10
467762201,"Смеситель для ванны с душем D&K Berlin.Steinbeis DA1433216, короткий излив, белый хром",DA1433216,11830.0,10
467762215,Смеситель для кухни (мойки) D&K (DA1312441)  высокий хром,DA1312441,5170.0,10
467762220,"Смеситель для кухни (мойки) D&K Rhein.Schiller DA1462517A, черный",DA1462517A,11840.0,10
467762228,Смеситель для раковины D&K Venice Gondola (DA1022141),DA1022141,4980.0,10
467762235,"Смеситель для кухни (мойки) KAISER Vincent 31144 под фильтр, хром",31144,14467.0,
467762242,"Смеситель для кухни (мойки) D&K (DA1372425) высокий излив, черный",DA1372425,4880.0,10
467762249,"Смеситель для кухни (мойки) D&K Venice Rialto (DA1062341), хром",DA1062341,4670.0,10
467762255,Смеситель для ванны D&K Bayern-Wurzburg (DA1113201),DA1273201,6450.0,10
467762261,Смеситель для ванны с душем D&K (DA1383301) длинный излив хром,DA1383301,6700.0,0
467762269,Смеситель для ванны с душем D&K Bayern.Purer DA1253201 короткий излив хром,DA1253201,4540.0,10
467762274,"Смеситель для ванны с душем D&K Rhein.Mosel DA1263301 длинный излив, хром",DA1263301,9280.0,10
467762281,"Смеситель для кухни D&K Rhein.Altportel DA1332401 высокий излив, хром",DA1332401,6170.0,10
467762309,Смеситель для кухни (мойки) KAISER Planet (22033) с вытяжной лейкой,22033,9134.0,
467762315,Смеситель для кухни D&K Rhein Valerius (DA1362401),DA1362401,4500.0,10
467762321,"Смеситель для кухни (мойки) D&K Rhein.Mosel DA1262441, высокий излив, хром",DA1262441,5640.0,10
467762325,Смеситель для кухни (мойки) D&K ( DA1432416) высокий белый-хром,DA1432416,7100.0,10
467762346,"Смеситель для кухни (мойки) D&K Venice Gondola DA1022441, хром",DA1022441,6400.0,10
467762355,Смеситель для кухни D&K (DA 1032541) с выдвижной лейкой хром,DA1032541,8400.0,0
